Building,Room Number,Capacity,Room Type,Seating Style,Table Style,shared tables,Board Type,Projector?
hamilton,609,24,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,613,23,seminar,moveable chairs,moveable tables,2,chalkboard,
hamilton,616,23,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,702,86,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
hamilton,703,54,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
hamilton,707,25,seminar,moveable chairs,moveable tables,4,chalkboard,
hamilton,716a,5,seminar,moveable chairs,moveable tables,1,chalkboard,
hamilton,717,86,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
hartley,109,22,seminar,moveable chairs,moveable tables,2,chalkboard,
havemeyer,209,110,lecture hall,fixed chairs,fixed tables,10,chalkboard,
havemeyer,309,320,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
kent,405,21,seminar,moveable chairs,moveable tables,2,chalkboard,
kent,411,25,classroom,moveable chairs,moveable tablets,0,chalkboard,
kent,413,71,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
kent,423,15,classroom,moveable chairs,fixed tablets,0,chalkboard,
kent,424,25,classroom,moveable chairs,fixed tablets,0,chalkboard,
kent,511,17,seminar,moveable chairs,fixed tables,2,chalkboard,
kent,522a,10,seminar,moveable chairs,moveable tables,1,chalkboard,
kent,522b,18,classroom,moveable chairs,moveable tablets,0,chalkboard,
kent,522c,21,seminar,moveable chairs,fixed tables,4,chalkboard,
kent,522d,13,seminar,moveable chairs,moveable tables,2,chalkboard,
knox,c01,30,classroom,moveable chairs,moveable tablets,0,chalkboard,
knox,101,25,classroom,moveable chairs,moveable tablets,0,whiteboard,
knox,103,28,classroom,moveable chairs,moveable tablets,0,whiteboard,
knox,104,19,classroom,moveable chairs,moveable tablets,0,whiteboard,
knox,112,10,classroom,moveable chairs,moveable tables,1,chalkboard,
knox,114,17,classroom,moveable chairs,moveable tablets,0,chalkboard,
knox,116,15,classroom,moveable chairs,moveable tablets,0,chalkboard,
mudd,227,48,classroom,fixed chairs,fixed tables,12,whiteboard,
mudd,233,48,classroom,fixed chairs,fixed tables,10,chalkboard,
mudd,327,39,classroom,moveable chairs,moveable tablets,0,chalkboard,
mudd,337,34,classroom,moveable chairs,moveable tablets,0,chalkboard,
mudd,627,52,classroom,fixed chairs,fixed tables,10,chalkboard,
mudd,633,70,classroom,fixed chairs,fixed tables,20,chalkboard,
mudd,644,44,classroom,moveable chairs,moveable tablets,0,chalkboard,
mudd,825,44,classroom,fixed chairs,fixed tables,10,chalkboard,
mudd,833,120,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
